Date,Items,Type,Total,Wallet,
25-Dec-16,Europa Universalis IV: Res Publica,Purchase,$63.82 ,($0.12),$0.00 
,Osiris: New Dawn,$0.12 Wallet,,,
,Europa Universalis IV: Wealth of Nations,$63.70 Visa,,,
,Europa Universalis IV: The Cossacks,,,,
,Europa Universalis IV: Rights of Man,,,,
,Europa Universalis IV: Conquest of Paradise,,,,
,Europa Universalis IV: Common Sense,,,,
,Europa Universalis IV: Art of War,,,,
22-Dec-16,Ultimate Chicken Horse,Purchase,$19.88 ,($19.88),$0.12 
,7 Days to Die,Wallet,,,
25-Nov-16,Besiege,Purchase,$23.17 ,($2.67),$0.00 
,Europa Universalis IV: El Dorado,$2.67 Wallet,,,
,Infinifactory,$20.50 Visa,,,
20-Nov-16,The Elder Scrolls® Online: Tamriel Unlimited,Purchase,$9.90 ,,
3-Sep-16,Europa Universalis IV: Mare Nostrum,Purchase,$20.03 ,,
,Europa Universalis IV,Visa **65,,,
12-Jul-16,Factorio,Purchase,$20.00 ,($1.87),$0.00 
26-Jun-16,Rocket League&amp;reg;,Purchase,$11.99 ,($11.99),$1.87 
26-Jun-16,Civ V Korea DLC,Purchase,$6.58 ,($6.58),$13.86 
,Civ V Wonders of the Ancient DLC,Wallet,,,
,Civ V Gods and Kings Expansion,,,,
,Sid Meier's Civilization V: Brave New World,,,,
,Changing Worlds Map Pack: Continents,,,,
,Sid Meier's Civilization V: Scrambled Nations Map Pack,,,,
6-Feb-16,Life is Strange Episode 1,Purchase,$2.49 ,,
6-Feb-16,Blockstorm,Purchase,$1.39 ,($0.57),$0.00 
31-Dec-15,Terraria,Purchase,$3.39 ,($2.15),$0.00 
26-Dec-15,Duck Game,Purchase,$9.74 ,($9.74),$1.42 
26-Dec-15,The Orange Box,Purchase,$4.99 ,,
26-Dec-15,Hitman Collection (ROW),Purchase,$5.99 ,($5.99),$10.98 
26-Dec-15,"Papers, Please",Purchase,$3.99 ,($3.99),$11.97 
25-Dec-15,XCOM: Complete,Purchase,$9.99 ,($9.99),$15.72 
25-Dec-15,Reus,Purchase,$1.99 ,($1.99),$8.12 
25-Dec-15,Total War: ATTILA released,Purchase,$20.27 ,($20.27),$0.11 
,Fallout: New Vegas,Wallet,,,
,Fallout 3 (NA),,,,
23-Dec-15,Pixel Piracy,Purchase,$1.49 ,($1.49),$0.05 
23-Aug-15,PAYDAY 2 - Four Pack,Purchase,$14.99 ,,
13-Jul-15,Terra Incognita ~ Chapter One: The Descendant,Purchase,$0.14 ,($0.14),$0.00 
20-Jun-15,Cities: Skylines Deluxe Edition,Purchase,$54.53 ,,
,The Escapists,Visa **65,,,
,Prison Architect Name in Game,,,,
26-Apr-15,Elder Scrolls V: Skyrim Legendary,Purchase,$13.59 ,,
28-Mar-15,Democracy 3 Collector's Edition,Purchase,$19.98 ,,
,Microsoft Flight Simulator X: Steam Edition,Visa **65,,,
29-Jun-14,Garry's Mod,Purchase,$18.46 ,,
,Chivalry: Medieval Warfare,Discover **22,,,
,Goat Simulator,,,,
,Portal 2,,,,
14-Sep-13,Kerbal Space Program,Purchase,$13.79 ,,
4-Nov-12,Zombie Driver HD,Purchase,$9.99 ,,
